work_year,salary_in_usd,experience_level,remote_status,country_iso3,gdp_per_capita_ppp,salary_to_gdp_ratio
2024,148100,Mid-Level,Fully Remote,USA,77860.9112908848,1.90210976913313
2024,98700,Mid-Level,Fully Remote,USA,77860.9112908848,1.2676450655870353
2024,140032,Senior-Level,Fully Remote,USA,77860.9112908848,1.7984890964973022
2024,100022,Senior-Level,Fully Remote,USA,77860.9112908848,1.2846240602851717
2024,120000,Mid-Level,Onsite,USA,77860.9112908848,1.5412098061848454
2024,62100,Mid-Level,Onsite,USA,77860.9112908848,0.7975760747006574
2024,250000,Entry-Level,Onsite,USA,77860.9112908848,3.2108537628850944
2024,150000,Entry-Level,Onsite,USA,77860.9112908848,1.9265122577310565
2024,219650,Executive-Level,Fully Remote,USA,77860.9112908848,2.821056116070844
2024,136000,Executive-Level,Fully Remote,USA,77860.9112908848,1.7467044470094912
2024,87800,Mid-Level,Onsite,USA,77860.9112908848,1.1276518415252452
2024,76300,Mid-Level,Onsite,USA,77860.9112908848,0.9799525684325308
2024,145500,Mid-Level,Onsite,USA,77860.9112908848,1.8687168899991249
2024,93000,Mid-Level,Onsite,USA,77860.9112908848,1.194437599793255
2024,85000,Mid-Level,Onsite,USA,77860.9112908848,1.091690279380932
2024,75000,Mid-Level,Onsite,USA,77860.9112908848,0.9632561288655282
2024,105000,Mid-Level,Onsite,USA,77860.9112908848,1.3485585804117397
2024,70000,Mid-Level,Onsite,USA,77860.9112908848,0.8990390536078264
2024,204662,Senior-Level,Onsite,USA,77860.9112908848,2.6285590112783566
2024,184662,Senior-Level,Onsite,USA,77860.9112908848,2.3716907102475493
2024,179000,Mid-Level,Onsite,USA,77860.9112908848,2.2989712942257277
2024,112000,Mid-Level,Onsite,USA,77860.9112908848,1.4384624857725223
2024,115000,Entry-Level,Onsite,USA,77860.9112908848,1.4769927309271433
2024,85000,Entry-Level,Onsite,USA,77860.9112908848,1.091690279380932
2024,225000,Executive-Level,Onsite,USA,77860.9112908848,2.889768386596585
2024,180000,Executive-Level,Onsite,USA,77860.9112908848,2.311814709277268
2024,175000,Senior-Level,Onsite,USA,77860.9112908848,2.247597634019566
2024,110000,Senior-Level,Onsite,USA,77860.9112908848,1.4127756556694415
2024,252000,Senior-Level,Onsite,USA,77860.9112908848,3.236540592988175
2024,157500,Senior-Level,Onsite,USA,77860.9112908848,2.0228378706176096
2024,267900,Senior-Level,Onsite,USA,77860.9112908848,3.4407508923076673
2024,234700,Senior-Level,Onsite,USA,77860.9112908848,3.0143495125965267
2024,195500,Entry-Level,Onsite,USA,77860.9112908848,2.5108876425761437
2024,68000,Entry-Level,Onsite,USA,77860.9112908848,0.8733522235047456
2024,120000,Senior-Level,Fully Remote,USA,77860.9112908848,1.5412098061848454
2024,90000,Senior-Level,Fully Remote,USA,77860.9112908848,1.155907354638634
2024,242000,Senior-Level,Onsite,USA,77860.9112908848,3.108106442472771
2024,106200,Senior-Level,Onsite,USA,77860.9112908848,1.363970678473588
2024,215000,Senior-Level,Onsite,USA,77860.9112908848,2.761334236081181
2024,146900,Senior-Level,Onsite,USA,77860.9112908848,1.8866976710712815
2024,222200,Mid-Level,Onsite,USA,77860.9112908848,2.853806824452272
2024,136000,Mid-Level,Onsite,USA,77860.9112908848,1.7467044470094912
2024,246000,Mid-Level,Fully Remote,USA,77860.9112908848,3.1594801026789328
2024,190000,Mid-Level,Fully Remote,USA,77860.9112908848,2.4402488597926717
2024,165000,Mid-Level,Fully Remote,USA,77860.9112908848,2.1191634835041624
2024,129600,Mid-Level,Fully Remote,USA,77860.9112908848,1.6645065906796328
2024,200400,Mid-Level,Onsite,USA,77860.9112908848,2.5738203763286918
2024,126900,Mid-Level,Onsite,USA,77860.9112908848,1.6298293700404738
2024,322000,Senior-Level,Fully Remote,USA,77860.9112908848,4.1355796465960015
